LayoutID,LocationID,TrackName
6,6,Autodromo Internazionale Enzo e Dino Ferrari - Grand Prix
3,3,Autódromo José Carlos Pace - Grand Prix
8,7,Autodromo Nazionale Monza - Grand Prix
16,15,Barber Motorsports Park - Full Course
15,14,Brands Hatch Circuit - Grand Prix
18,17,Circuit de Nevers Magny-Cours - Grand Prix
19,18,Circuit Gilles Villeneuve
4,4,Circuit of the Americas - Grand Prix
7,4,Circuit of the Americas - West
23,22,Circuit Zolder - Grand Prix
5,5,Daytona International Speedway - Road Course
9,8,Detroit Grand Prix at Belle Isle - Belle Isle
1,1,Fuji International Speedway - Grand Prix
10,9,Mid-Ohio Sports Car Course - Full Course
11,10,Mount Panorama Circuit
17,16,Phillip Island Circuit
2,2,Road America - Full Course
20,19,Road Atlanta - Full Course
14,13,Sebring International Raceway - International
21,20,Suzuka International Racing Course - Grand Prix
13,12,Twin Ring Motegi - Grand Prix
12,11,Virginia International Raceway - Full Course
22,21,Winton Motor Raceway - National Circuit
